City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,dharan,0,NP,1547423855,60,26.81,87.28,46.99,2.64
88,hobart,0,AU,1547422200,46,-42.88,147.33,71.6,10.29
89,san patricio,12,PY,1547424132,86,-26.98,-56.83,80.74,2.53
90,kulaman,12,PH,1547424132,87,6.46,124.09,75.48,2.19
91,pathanamthitta,0,IN,1547424133,86,9.27,76.79,71.38,4.21
92,arraial do cabo,0,BR,1547423733,84,-22.97,-42.02,77.41,16.28
93,vila franca do campo,40,PT,1547420400,72,37.72,-25.43,59.0,8.05
94,nijar,0,ES,1547422200,87,36.97,-2.21,46.4,4.7
95,narsaq,32,GL,1547419800,68,60.91,-46.05,26.6,4.7
96,asmara,0,ER,1547424134,75,15.34,38.93,47.58,1.74
97,mount gambier,0,AU,1547420400,68,-37.83,140.78,71.6,9.17
98,lasa,20,CY,1547422200,87,34.92,32.53,48.2,4.7
99,quatre cocos,40,MU,1547420400,74,-20.21,57.76,78.8,6.93
100,grindavik,75,IS,1547422200,74,63.84,-22.43,30.2,10.29
101,nelspruit,92,ZA,1547420400,83,-25.48,30.98,75.2,4.99
102,tiksi,0,RU,1547423745,0,71.64,128.87,-38.42,2.42
103,lagoa,0,PT,1547420400,75,37.14,-8.45,46.4,5.82
104,padang,20,ID,1547420400,100,-0.92,100.36,73.4,2.24
105,laramie,1,US,1547420280,58,41.31,-105.59,39.92,3.36
106,norman wells,75,CA,1547420400,69,65.28,-126.83,-13.01,17.22
107,victoria,75,BN,1547422200,94,5.28,115.24,78.8,1.12
108,yellowknife,40,CA,1547420400,74,62.45,-114.38,-25.61,4.7
109,provideniya,0,RU,1547422200,64,64.42,-173.23,1.4,15.66
110,imbituba,75,BR,1547422620,88,-28.24,-48.67,78.8,3.36
111,bluff,0,AU,1547424139,46,-23.58,149.07,84.61,13.27
112,kavaratti,0,IN,1547423754,100,10.57,72.64,81.64,14.5
113,deputatskiy,48,RU,1547424139,44,69.3,139.9,-28.79,3.2
114,newcastle,32,ZA,1547424053,92,-27.76,29.92,61.39,2.98
115,camacha,40,PT,1547420400,77,33.08,-16.33,64.4,17.22
116,ostrovnoy,76,RU,1547424140,92,68.05,39.51,18.73,10.25
117,bredasdorp,48,ZA,1547420400,72,-34.53,20.04,66.2,2.24
118,pevek,0,RU,1547423758,100,69.7,170.27,-31.09,2.64
119,muisne,75,EC,1547420400,88,0.61,-80.02,77.0,4.7
120,oyama,20,JP,1547420400,79,36.31,139.8,28.4,3.36
121,souillac,90,FR,1547422200,93,45.6,-0.6,50.0,13.87
122,sulangan,8,PH,1547424142,99,11.14,123.72,80.07,20.54
123,luganville,0,VU,1547424143,99,-15.51,167.18,83.22,2.19
124,puerto ayora,90,EC,1547420400,88,-0.74,-90.35,75.2,16.11
